City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ōzu,33.5,132.55,38.82,69,55,2.64,JP,1641163042
1,Laguna,38.421,-121.4238,58.64,64,1,1.99,US,1641163042
2,Bealanana,-14.55,48.7333,65.48,96,100,0.92,MG,1641163043
3,Bredasdorp,-34.5322,20.0403,63.28,77,96,1.14,ZA,1641163044
4,Ouadda,8.0777,22.4007,71.64,27,55,7.54,CF,1641163044
5,Hobart,-42.8794,147.3294,61.02,76,75,8.05,AU,1641163045
6,Lodhran,29.5405,71.6336,58.73,24,100,5.7,PK,1641163046
7,Jamestown,42.097,-79.2353,28.09,70,90,1.99,US,1641163046
8,Lae,-6.7221,146.9847,79.47,86,100,8.16,PG,1641163047
9,Cidreira,-30.1811,-50.2056,73.92,94,100,4.54,BR,1641163047
10,Constitución,-35.3333,-72.4167,64.44,83,12,8.57,CL,1641163048
11,Skibbereen,51.55,-9.2667,49.8,79,26,26.75,IE,1641163049
12,New Norfolk,-42.7826,147.0587,60.66,68,99,2.44,AU,1641163050
13,Mataura,-46.1927,168.8643,69.48,48,100,0.76,NZ,1641163050
14,Severo-Kuril'sk,50.6789,156.125,24.87,65,72,6.73,RU,1641163051
15,Norden,53.6,7.2,48.94,96,100,13.58,DE,1641162836
16,Vestmannaeyjar,63.4427,-20.2734,25.2,66,0,25.61,IS,1641163052
17,Tabuk,17.4189,121.4443,66.92,91,96,0.81,PH,1641163053
18,Rikitea,-23.1203,-134.9692,77.38,71,16,8.5,PF,1641163053
19,Ribeira Grande,38.5167,-28.7,58.19,85,100,26.35,PT,1641162809
20,Albany,42.6001,-73.9662,33.75,88,100,15.01,US,1641163006
21,Hermanus,-34.4187,19.2345,63.81,77,68,6.85,ZA,1641163055
22,Cabo San Lucas,22.8909,-109.9124,78.06,65,1,5.01,MX,1641163056
23,San Jerónimo,-11.9472,-75.2829,61.18,62,70,3.91,PE,1641163056
24,Kaitangata,-46.2817,169.8464,69.93,60,100,5.86,NZ,1641163057
25,Nhamundá,-2.1861,-56.7131,76.89,88,99,2.42,BR,1641163058
26,Willowmore,-33.2926,23.4895,58.77,64,82,7.34,ZA,1641163058
27,Clyde River,70.4692,-68.5914,-3.77,84,100,17.27,CA,1641163059
28,Puerto Ayora,-0.7393,-90.3518,80.56,82,66,9.75,EC,1641163059
29,Longyearbyen,78.2186,15.6401,12.04,73,75,25.32,SJ,1641162913
30,Bluff,-46.6,168.3333,69.8,73,100,2.08,NZ,1641163061
31,Port Alfred,-33.5906,26.891,64.26,77,85,2.24,ZA,1641163061
32,Ponta do Sol,32.6667,-17.1,71.13,16,13,3.94,PT,1641163062
33,Fortuna,40.5982,-124.1573,52.14,64,100,11.01,US,1641163063
34,Bandarbeyla,9.4942,50.8122,75.45,74,2,6.26,SO,1641163063
35,Yenagoa,4.9247,6.2642,78.46,86,43,4.21,NG,1641163064
36,Safi,32.2994,-9.2372,61.09,62,49,11.05,MA,1641163065
