City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ōzu,33.5,132.55,44.19,61,63,4.68,JP,1641168893
1,Laguna,38.421,-121.4238,55.24,68,1,1.01,US,1641168893
2,Bealanana,-14.55,48.7333,65.17,96,98,0.4,MG,1641168893
3,Bredasdorp,-34.5322,20.0403,58.32,82,88,3.44,ZA,1641168893
4,Ouadda,8.0777,22.4007,70.97,28,47,7.23,CF,1641168893
5,Hobart,-42.8794,147.3294,64.02,68,75,1.01,AU,1641168893
6,Lodhran,29.5405,71.6336,57.16,26,97,4.97,PK,1641168893
7,Jamestown,42.097,-79.2353,26.1,70,90,5.99,US,1641168893
8,Lae,-6.7221,146.9847,84.87,67,100,4.72,PG,1641168893
9,Cidreira,-30.1811,-50.2056,73.49,95,100,10.04,BR,1641168894
10,Constitución,-35.3333,-72.4167,61.59,92,12,7.25,CL,1641168894
11,Skibbereen,51.55,-9.2667,48.0,80,30,27.22,IE,1641168894
12,New Norfolk,-42.7826,147.0587,63.66,62,99,1.01,AU,1641168894
13,Mataura,-46.1927,168.8643,69.48,43,100,0.76,NZ,1641168894
14,Severo-Kuril'sk,50.6789,156.125,26.2,64,70,5.23,RU,1641168894
15,Norden,53.6,7.2,46.94,97,100,17.22,DE,1641168894
16,Vestmannaeyjar,63.4427,-20.2734,25.3,65,0,23.85,IS,1641168895
17,Tabuk,17.4189,121.4443,68.31,88,97,1.92,PH,1641168895
18,Rikitea,-23.1203,-134.9692,77.45,70,19,7.92,PF,1641168895
19,Ribeira Grande,38.5167,-28.7,58.19,86,100,26.26,PT,1641168895
20,Albany,42.6001,-73.9662,32.74,89,100,1.01,US,1641168895
21,Hermanus,-34.4187,19.2345,60.91,78,61,7.47,ZA,1641168895
22,Cabo San Lucas,22.8909,-109.9124,75.51,68,2,3.0,MX,1641168895
23,San Jerónimo,-11.9472,-75.2829,55.83,71,62,4.97,PE,1641168896
24,Kaitangata,-46.2817,169.8464,68.94,70,100,7.0,NZ,1641168896
25,Nhamundá,-2.1861,-56.7131,77.09,84,99,2.42,BR,1641168896
26,Willowmore,-33.2926,23.4895,57.94,65,77,7.72,ZA,1641168896
27,Clyde River,70.4692,-68.5914,-3.77,84,99,19.57,CA,1641168896
28,Puerto Ayora,-0.7393,-90.3518,70.47,84,66,8.32,EC,1641168896
29,Longyearbyen,78.2186,15.6401,12.04,67,40,28.77,SJ,1641168896
30,Bluff,-46.6,168.3333,69.8,70,100,3.0,NZ,1641168896
31,Port Alfred,-33.5906,26.891,64.13,78,87,2.57,ZA,1641168897
32,Ponta do Sol,32.6667,-17.1,71.13,16,21,3.96,PT,1641168897
33,Fortuna,40.5982,-124.1573,52.14,65,1,4.0,US,1641168897
34,Bandarbeyla,9.4942,50.8122,75.13,75,3,5.64,SO,1641168897
35,Yenagoa,4.9247,6.2642,77.88,88,36,3.71,NG,1641168733
36,Safi,32.2994,-9.2372,60.62,61,48,10.83,MA,1641168812
37,Meulaboh,4.1363,96.1285,75.11,88,88,3.62,ID,1641168897
38,Dubai,25.2582,55.3047,77.22,68,20,6.91,AE,1641168716
39,Boa Vista,2.8197,-60.6733,84.18,58,0,10.36,BR,1641168898
40,Mahébourg,-20.4081,57.7,73.26,71,5,6.04,MU,1641168898
41,Punta Arenas,-53.15,-70.9167,44.71,57,40,20.71,CL,1641168898
42,Ushuaia,-54.8,-68.3,42.46,49,75,39.12,AR,1641168657
43,Bluefields,12.0137,-83.7635,76.77,84,89,5.08,NI,1641168898
44,Benguela,-12.5763,13.4055,76.78,82,85,5.5,AO,1641168898
45,Port Blair,11.6667,92.75,78.73,74,33,12.37,IN,1641168898
46,Faanui,-16.4833,-151.75,76.62,86,100,12.24,PF,1641168898
47,Atuona,-9.8,-139.0333,78.96,67,18,19.62,PF,1641168899
48,Comodoro Rivadavia,-45.8667,-67.5,64.26,20,0,27.63,AR,1641168899
49,Port Elizabeth,-33.918,25.5701,64.09,84,57,2.84,ZA,1641168687
50,Bilma,18.6853,12.9164,58.8,40,48,4.81,NE,1641168900
51,Pitimbu,-7.4706,-34.8086,81.19,75,89,13.09,BR,1641168900
52,Tiksi,71.6872,128.8694,-31.92,100,85,2.1,RU,1641168812
53,Klaksvík,62.2266,-6.589,31.12,64,100,32.03,FO,1641168900
54,Bengkulu,-3.8004,102.2655,74.41,89,56,3.47,ID,1641168900
55,Oktyabr'skoye,43.0645,44.7417,28.54,92,100,13.42,RU,1641168901
56,Avarua,-21.2078,-159.775,82.45,78,20,18.41,CK,1641168901
57,Mar del Plata,-38.0023,-57.5575,69.82,84,75,10.0,AR,1641168621
58,Ahipara,-35.1667,173.1667,75.79,50,100,4.63,NZ,1641168901
59,Arraial do Cabo,-22.9661,-42.0278,75.76,90,99,18.16,BR,1641168904
60,Abū Zabad,12.35,29.25,63.46,30,70,15.14,SD,1641168904
61,Souillac,-20.5167,57.5167,73.36,74,2,6.2,MU,1641168905
62,Torbay,47.6666,-52.7314,42.28,96,90,29.93,CA,1641168905
63,Novobirilyussy,56.9514,90.6661,18.86,85,100,9.64,RU,1641168906
64,Lebu,-37.6167,-73.65,60.13,96,73,7.61,CL,1641168906
65,Aiquile,-18.2041,-65.1807,56.73,88,63,4.29,BO,1641168907
66,Havre-St-Pierre,50.2334,-63.5986,10.99,61,90,17.27,CA,1641168908
67,Leningradskiy,69.3833,178.4167,16.77,88,100,8.03,RU,1641168908
68,Quthing,-30.4,27.7003,59.31,58,54,4.85,LS,1641168909
69,Nikolskoye,59.7035,30.7861,19.4,85,100,8.08,RU,1641168909
70,Iberia,29.9502,-91.7507,37.36,69,90,24.16,US,1641168910
71,Tanga,-5.0667,39.1,76.73,91,14,8.66,TZ,1641168910
72,Vostok,46.4856,135.8833,-9.76,95,100,10.18,RU,1641168910
73,Mitsamiouli,-11.3847,43.2844,81.93,76,50,6.15,KM,1641168910
74,Cochabamba,-17.3895,-66.1568,64.69,62,74,4.16,BO,1641168739
75,Cody,44.5263,-109.0565,23.63,85,1,6.91,US,1641168911
76,Margate,51.3813,1.3862,50.88,80,21,3.0,GB,1641168911
77,Lorengau,-2.0226,147.2712,83.41,75,100,10.02,PG,1641168912
78,Komsomolets,53.7453,62.0708,25.32,94,100,14.72,KZ,1641168912
79,Tazovsky,67.4667,78.7,-25.19,98,50,8.77,RU,1641168913
80,Cam Ranh,11.9214,109.1591,73.36,88,40,11.5,VN,1641168913
81,Vardø,70.3705,31.1107,22.42,63,100,12.12,NO,1641168913
82,Neuquén,-38.9516,-68.0591,68.4,43,73,26.6,AR,1641168678
83,Filingué,14.3521,3.3168,70.21,21,99,11.36,NE,1641168913
84,Liwale,-9.7667,37.9333,69.1,99,71,1.63,TZ,1641168914
85,Ube,33.9431,131.2511,46.35,87,20,4.61,JP,1641168914
86,Dikson,73.5069,80.5464,-39.53,95,37,9.55,RU,1641168914
87,Kavieng,-2.5744,150.7967,82.36,78,84,10.36,PG,1641168914
88,Rome,43.2128,-75.4557,24.84,89,90,6.91,US,1641168859
89,Saint-Augustin,51.226,-58.6502,15.4,90,100,21.16,CA,1641168914
90,Itarema,-2.9248,-39.9167,80.29,79,21,12.55,BR,1641168915
91,Tallahassee,30.4383,-84.2807,75.85,89,90,1.99,US,1641168762
92,Florø,61.5996,5.0328,46.36,87,90,19.57,NO,1641168915
93,Qeshm,26.9581,56.2719,73.29,76,96,15.93,IR,1641168913
94,Qaanaaq,77.484,-69.3632,-4.27,70,85,7.61,GL,1641168915
95,Cape Town,-33.9258,18.4232,63.1,81,72,5.01,ZA,1641168645
96,Upernavik,72.7868,-56.1549,-1.35,82,73,7.85,GL,1641168915
97,Chokurdakh,70.6333,147.9167,-30.57,98,99,6.64,RU,1641168647
98,Quesnel,52.9999,-122.5029,20.1,97,100,3.74,CA,1641168680
99,Ancud,-41.8697,-73.8203,56.43,75,76,12.26,CL,1641168916
100,Tasiilaq,65.6145,-37.6368,8.76,58,100,5.01,GL,1641168916
101,Mason City,43.1536,-93.201,5.27,77,1,6.91,US,1641168917
102,Saldanha,-33.0117,17.9442,59.05,83,100,20.18,ZA,1641168917
103,Moctezuma,29.8,-109.6667,59.85,34,12,6.35,MX,1641168917
104,Lang Son,21.8333,106.7333,53.67,94,3,1.88,VN,1641168917
105,Yulara,-25.2406,130.9889,96.64,12,6,24.16,AU,1641168917
106,Alyangula,-13.8483,136.4192,76.87,100,75,6.91,AU,1641168918
107,Tabas,33.5959,56.9244,54.07,70,97,11.52,IR,1641168918
108,Mandan,46.8267,-100.8896,27.03,79,1,12.66,US,1641168918
109,Saskylakh,71.9167,114.0833,-50.15,100,82,2.93,RU,1641168918
110,Gilbués,-9.8317,-45.3439,72.43,94,100,3.65,BR,1641168918
111,Sibut,5.718,19.0739,73.56,26,91,4.36,CF,1641168919
112,Lučani,43.8608,20.1381,32.45,77,88,3.67,RS,1641168919
113,Pleasant Grove,40.3641,-111.7385,28.8,61,1,1.01,US,1641168919
114,Zhangye,38.9342,100.4517,15.12,55,40,0.69,CN,1641168760
115,Barra Patuca,15.8,-84.2833,77.45,84,35,8.93,HN,1641168919
116,Pevek,69.7008,170.3133,21.92,85,98,16.06,RU,1641168920
117,Sidi Ali,36.0998,0.4206,54.03,59,7,1.95,DZ,1641168920
118,Norman Wells,65.282,-126.8329,-27.36,62,75,12.66,CA,1641168920
119,Acapulco de Juárez,16.8634,-99.8901,80.42,78,20,4.61,MX,1641168631
120,Trairi,-3.2778,-39.2689,79.48,82,80,8.84,BR,1641168920
121,Tuktoyaktuk,69.4541,-133.0374,-22.0,69,40,12.66,CA,1641168920
122,Havelock,34.8791,-76.9013,68.0,88,90,10.36,US,1641168920
123,Evensk,61.95,159.2333,35.08,80,100,22.84,RU,1641168921
124,Nova Olinda do Norte,-3.8881,-59.0942,75.45,97,99,2.55,BR,1641168921
125,Yellowknife,62.456,-114.3525,-31.45,74,40,10.36,CA,1641168921
126,Merta,26.65,74.0333,55.87,53,44,5.39,IN,1641168921
127,Neiafu,-18.65,-173.9833,72.28,94,90,4.61,TO,1641168921
128,Hong Kong,22.2855,114.1577,67.95,85,75,1.01,HK,1641168922
129,Butaritari,3.0707,172.7902,81.0,65,100,11.36,KI,1641168922
130,Lapeer,43.0514,-83.3188,20.75,73,90,0.0,US,1641168922
131,Isangel,-19.55,169.2667,80.71,94,90,6.91,VU,1641168922
132,Broome,42.2506,-75.833,27.7,83,90,5.99,US,1641168922
133,Insar,53.8653,44.3738,3.24,99,100,8.61,RU,1641168853
134,Hamilton,39.1834,-84.5333,31.08,86,90,8.01,US,1641168923
135,Dingle,10.9995,122.6711,75.72,89,99,12.91,PH,1641168923
136,Castro,-24.7911,-50.0119,65.08,84,42,2.64,BR,1641168923
137,Narsaq,60.9167,-46.05,26.82,81,100,13.51,GL,1641168923
138,Coruripe,-10.1256,-36.1756,77.76,76,39,9.42,BR,1641168923
139,Kaspi,41.9252,44.4257,38.32,76,78,25.79,GE,1641168923
140,Saint-Philippe,-21.3585,55.7679,74.79,79,51,10.02,RE,1641168924
141,Vaini,-21.2,-175.2,82.56,89,75,5.75,TO,1641168924
142,Mopti,14.6667,-4.0,68.04,42,0,4.61,ML,1641168924
143,Gouré,13.9835,10.2704,66.02,34,92,11.36,NE,1641168924
144,Flin Flon,54.7682,-101.865,-7.76,77,90,9.22,CA,1641168924
145,Muravlenko,63.7898,74.523,-7.49,100,96,3.24,RU,1641168807
146,Nandu,22.8525,110.8233,57.4,85,0,1.97,CN,1641168924
147,Chui,-33.6971,-53.4616,76.57,64,46,5.99,UY,1641168924
148,Busselton,-33.65,115.3333,70.09,60,48,11.45,AU,1641168925
149,Yangi Marg`ilon,40.4272,71.7189,31.42,59,92,2.3,UZ,1641168925
150,Airai,-8.9266,125.4092,68.9,77,78,1.03,TL,1641168926
151,Moose Factory,51.2585,-80.6094,-13.02,77,1,8.05,CA,1641168926
152,Cotonou,6.3654,2.4183,81.57,77,1,10.16,BJ,1641168859
153,San Cristobal,7.7669,-72.225,73.58,73,36,0.76,VE,1641168926
154,Béjar,40.3864,-5.7634,47.57,89,38,1.14,ES,1641168926
155,Aklavik,68.2191,-135.0107,-26.57,89,100,12.5,CA,1641168926
156,Lavrentiya,65.5833,-171.0,-1.84,99,97,3.56,RU,1641168926
157,Kieta,-6.2167,155.6333,86.2,68,59,5.28,PG,1641168926
158,Sur,22.5667,59.5289,71.91,71,54,15.57,OM,1641168927
159,College,64.8569,-147.8028,-27.42,68,20,0.0,US,1641168927
160,Juneau,58.3019,-134.4197,19.45,58,75,19.57,US,1641168927
161,Veinticinco de Mayo,-35.4323,-60.1727,84.06,26,58,14.72,AR,1641168927
162,Sangmélima,2.9333,11.9833,68.18,86,92,2.82,CM,1641168927
163,Muros,42.7762,-9.0603,59.09,88,99,8.79,ES,1641168783
164,Kenitra,34.261,-6.5802,54.84,76,80,0.85,MA,1641168928
165,São Filipe,14.8961,-24.4956,77.05,60,27,11.18,CV,1641168928
166,Kapaa,22.0752,-159.319,78.78,75,1,3.0,US,1641168928
167,Yuli,9.6989,10.2744,69.3,26,27,9.89,NG,1641168928
168,Padang,-0.9492,100.3543,73.45,81,100,3.83,ID,1641168928
169,Port Keats,-14.25,129.55,85.03,73,94,6.2,AU,1641168928
170,East London,-33.0153,27.9116,65.98,76,100,4.88,ZA,1641168928
171,Tromsø,69.6496,18.957,28.42,59,40,17.27,NO,1641168928
172,Abu Samrah,35.3029,37.1841,45.03,77,15,3.94,SY,1641168929
173,Saint Paul Harbor,57.79,-152.4072,15.96,74,99,31.29,US,1641168929
174,Mildura,-34.2,142.15,80.56,36,0,10.36,AU,1641168929
175,Breisach,48.0333,7.5833,56.01,73,75,14.97,DE,1641168929
176,Yarmouth,41.7057,-70.2286,47.97,95,90,11.01,US,1641168929
177,Hithadhoo,-0.6,73.0833,81.43,78,98,10.16,MV,1641168929
178,Tura,25.5198,90.2201,55.65,65,100,2.84,IN,1641168929
179,Vitim,59.4511,112.5578,-6.34,95,99,7.56,RU,1641168930
180,The Valley,18.217,-63.0578,78.1,70,2,13.09,AI,1641168930
181,Cockburn Town,21.4612,-71.1419,78.93,65,14,19.46,TC,1641168930
182,Chimbote,-9.0853,-78.5783,69.84,82,13,7.99,PE,1641168698
183,Province of Mantua,45.1667,10.7833,43.72,91,95,3.89,IT,1641168930
184,Korla,41.7597,86.1469,19.06,68,21,1.83,CN,1641168930
185,São Geraldo do Araguaia,-6.4006,-48.555,75.29,94,69,2.15,BR,1641168931
186,Nuuk,64.1835,-51.7216,29.01,54,40,14.97,GL,1641168931
187,Palmer,42.1584,-72.3287,41.22,79,75,1.99,US,1641168931
188,Oodweyne,9.4092,45.064,66.11,54,0,4.43,SO,1641168931
189,Tigil',57.8,158.6667,24.06,96,100,9.17,RU,1641168931
190,Tautira,-17.7333,-149.15,78.82,95,100,12.06,PF,1641168931
191,Hasaki,35.7333,140.8333,41.29,48,3,9.28,JP,1641168931
192,Sedona,34.8697,-111.761,46.15,43,1,0.0,US,1641168931
193,Roald,62.5833,6.1333,43.32,87,75,9.22,NO,1641168932
194,Bose,45.4612,8.0137,41.16,81,46,1.43,IT,1641168932
195,Carutapera,-1.195,-46.02,76.12,94,100,6.04,BR,1641168932
196,Laiyang,36.9758,120.7136,29.32,70,66,3.85,CN,1641168932
197,Kosa,59.9445,54.9977,11.88,95,100,7.23,RU,1641168932
198,Dorokhovo,55.5506,36.3744,17.33,98,93,3.29,RU,1641168932
199,Asău,46.4333,26.4,42.76,92,92,7.92,RO,1641168932
200,Kirkland Lake,48.1446,-80.0377,-6.77,84,76,2.26,CA,1641168933
201,Haimen,23.1935,116.6142,58.98,76,12,12.73,CN,1641168735
202,Jiayuguan City,39.8167,98.3,17.46,41,72,1.63,CN,1641168934
203,Igurubi,-4.0,33.7,69.33,76,89,5.68,TZ,1641168934
204,Arefu,45.3333,24.6,39.06,81,100,3.76,RO,1641168934
205,Cherskiy,68.75,161.3,0.05,97,99,6.33,RU,1641168934
206,Hofn,64.2539,-15.2082,26.2,53,0,27.09,IS,1641168934
207,Solnechnyy,50.7214,136.6319,-9.96,96,100,1.34,RU,1641168934
208,Cayenne,4.9333,-52.3333,80.1,83,75,8.01,GF,1641168935
209,Kupang,-10.1667,123.5833,84.78,89,40,3.44,ID,1641168935
210,Sinazongwe,-17.2614,27.4618,75.96,77,46,1.92,ZM,1641168935
211,Honningsvåg,70.9821,25.9704,23.11,68,100,24.56,NO,1641168935
212,Kumul,42.8,93.45,18.73,56,5,3.6,CN,1641168935
213,Hilo,19.7297,-155.09,76.8,91,90,1.99,US,1641168935
214,Kurdzhinovo,43.9884,40.9552,20.48,94,97,3.44,RU,1641168935
215,Touros,-5.1989,-35.4608,83.3,76,88,14.05,BR,1641168935
216,Lata,40.1629,-8.3327,54.81,94,98,2.3,PT,1641168936
217,Honiara,-9.4333,159.95,85.84,71,97,9.15,SB,1641168936
218,Barrow,71.2906,-156.7887,-27.38,91,1,3.44,US,1641168936
219,Khatanga,71.9667,102.5,-51.72,100,63,3.96,RU,1641168649
220,Richards Bay,-28.783,32.0377,70.11,95,99,5.44,ZA,1641168913
221,City of San Pedro,14.35,121.0167,79.32,66,75,10.36,PH,1641168936
222,Nishihara,26.1842,127.7558,65.48,69,20,5.75,JP,1641168936
223,Ossora,59.2353,163.0719,34.48,94,100,11.41,RU,1641168937
224,Omboué,-1.5746,9.2618,76.53,90,57,5.77,GA,1641168937
225,Songea,-10.6833,35.65,63.75,93,100,2.42,TZ,1641168937
226,Río Gallegos,-51.6226,-69.2181,50.05,29,75,27.63,AR,1641168937
227,Lagoa,39.05,-27.9833,56.68,82,100,21.81,PT,1641168937
228,Muyezerskiy,63.9333,31.65,-3.03,100,91,2.73,RU,1641168937
229,Seoul,37.5683,126.9778,18.84,34,56,1.3,KR,1641168703
230,Pachmarhi,22.4667,78.4333,48.81,76,7,2.59,IN,1641168938
231,Karratha,-20.7377,116.8463,85.46,47,1,11.81,AU,1641168938
232,Cervo,43.6702,-7.4101,57.96,83,100,6.62,ES,1641168938
